Student_ID,Age,Gender,Course,Year_Level,GWA,Attendance_Rate,Library_Usage_Hours,Scholarship_Status,Counseling_Sessions,Academic_Standing,School_Environment_Feedback
S0001,23,Female,BSECE,3rd Year,3.83,58.61,3.31,No,6,Probation,Security guards are friendly and respectful. I feel safe walking around campus.
S0002,21,Male,BSCS,4th Year,1.02,58.63,16.44,No,4,Good,"I feel safe walking around the campus even in the evening. Security guards are visible, and the pathways are well-lit."
S0003,19,Female,BSIT,2nd Year,2.48,89.06,13.8,Yes,10,Probation,"I feel safe walking around the campus even in the evening. Security guards are visible, and the pathways are well-lit."
S0004,25,Male,BSECE,1st Year,2.25,83.49,16.99,Yes,2,Probation,The campus grounds are clean and well-maintained.
S0005,24,Male,BSME,3rd Year,2.16,57.79,0.85,No,0,Dropout_Risk,"The canteen is often overcrowded, and the food choices are limited. It would be nice to have healthier and more affordable options."
S0006,20,Male,BSCE,4th Year,4.99,92.01,0.87,No,0,Probation,The academic environment is competitive but supportive.
S0007,24,Female,BSECE,4th Year,1,84.59,9.44,Yes,3,Good,"Our teachers are approachable and helpful, which makes the learning experience enjoyable. They also create an inclusive environment where everyone is encouraged to speak up."
S0008,21,Female,BSCS,3rd Year,3.07,72.8,5.64,Yes,4,Dropout_Risk,The academic environment is competitive but supportive.
S0009,23,Male,BSCE,1st Year,4.33,78.51,1.51,Yes,4,Good,"The library is a peaceful place to study, but there are not enough updated references for our program. It would help if digital resources were expanded."
S0010,21,Male,BSCE,1st Year,4.06,60.8,16.97,Yes,5,Good,Restrooms are usually clean and have the necessary supplies.
S0011,21,Male,BSME,4th Year,3,67.88,11.88,No,2,Probation,"There are enough open spaces where students can relax or review between classes. However, more shaded areas would make the outdoor spots more comfortable."
S0012,21,Female,BSECE,3rd Year,1.66,92.64,8.96,Yes,1,Dropout_Risk,The guidance office is easy to approach and very helpful.
S0013,24,Female,BSCE,2nd Year,4.48,79.93,18.73,Yes,3,Good,"Group activities are encouraged, and we often collaborate in a supportive environment. The culture promotes teamwork and respect among students."
S0014,19,Female,BSME,1st Year,4.13,92.32,11.02,No,8,Good,Some chairs in the lecture halls are broken and uncomfortable to use. It becomes distracting especially during long classes.
S0015,24,Male,BSIT,2nd Year,3.89,86.8,12.3,Yes,9,Good,"Some restrooms are clean and regularly maintained, but others often run out of supplies. It affects our comfort and hygiene throughout the day."
S0016,23,Male,BSCS,3rd Year,1.39,94.29,1.29,No,1,Good,"Group activities are encouraged, and we often collaborate in a supportive environment. The culture promotes teamwork and respect among students."
S0017,20,Male,BSCS,4th Year,3.5,57.82,0.88,No,10,Good,"The school offers many student organizations, which makes it easy to find a community. It helps me feel more connected and involved."
S0018,22,Male,BSECE,3rd Year,2.99,74.56,15.24,No,4,Probation,Some chairs in the lecture halls are broken and uncomfortable to use. It becomes distracting especially during long classes.
S0019,23,Male,BSIT,4th Year,1,90.11,0.47,Yes,4,Good,"Internet access in campus is unreliable, which makes online research and submitting requirements difficult. Stable Wi-Fi should be a priority."
S0020,21,Female,BSME,4th Year,2.57,77.63,0.17,Yes,10,Probation,The classrooms are too hot in the afternoon because the electric fans aren?t enough. Installing more ventilation would improve our comfort.
S0021,19,Female,BSECE,3rd Year,4.33,97.27,14.4,No,1,Probation,The classrooms are too hot in the afternoon because the electric fans aren?t enough. Installing more ventilation would improve our comfort.
S0022,25,Male,BSIT,3rd Year,4.83,86.07,11.54,Yes,0,Probation,Some chairs in the lecture halls are broken and uncomfortable to use. It becomes distracting especially during long classes.
S0023,18,Female,BSME,1st Year,3.18,78.68,14.98,No,10,Dropout_Risk,The restrooms are usually dirty and lack tissue or soap. It?s uncomfortable especially during long class hours.
S0024,24,Male,BSECE,2nd Year,2.89,60.77,6.01,Yes,4,Good,"The school grounds are well-kept, and it's refreshing to see green spaces. I enjoy spending my breaks outdoors because of this."
S0025,20,Female,BSIT,3rd Year,2.99,84.88,1.89,No,2,Dropout_Risk,Restrooms are usually clean and have the necessary supplies.
S0026,18,Male,BSME,2nd Year,3.8,98.7,11.75,No,10,Probation,"The computer labs are often fully booked, so we have a hard time practicing during free hours. More units or access hours would help."
S0027,22,Male,BSCS,1st Year,1.65,73.41,19.33,Yes,10,Good,Security guards are friendly and respectful. I feel safe walking around campus.
S0028,25,Male,BSIT,2nd Year,1.97,78.11,19.44,No,4,Dropout_Risk,Our computer labs are equipped with the latest software we need for our program.
S0029,23,Female,BSCS,1st Year,4.82,74.09,19.62,No,6,Probation,The guidance office is easy to approach and very helpful.
S0030,25,Male,BSCS,1st Year,1.1,76.92,12.23,No,4,Good,The science laboratories are outdated and lack essential equipment. This limits the learning experience during experiments.
S0031,24,Male,BSIT,1st Year,3.47,74.84,12.39,Yes,1,Good,The restrooms are usually dirty and lack tissue or soap. It?s uncomfortable especially during long class hours.
S0032,18,Male,BSCE,1st Year,4.58,83.47,17.1,No,1,Good,"The school gym is well-maintained and encourages students to stay active. However, it's often reserved for varsity, leaving others with limited access."
S0033,22,Female,BSCS,3rd Year,1.43,55.41,17.08,No,0,Probation,Security guards are friendly and respectful. I feel safe walking around campus.
S0034,20,Male,BSME,1st Year,4.32,75.19,6.25,No,2,Probation,Wi-Fi is strong in the library but weak in the classrooms. This affects our ability to access online materials during lectures.
S0035,19,Male,BSME,3rd Year,1.16,98.1,11.23,Yes,5,Good,"The library is quiet and comfortable, with plenty of space to study."
S0036,21,Male,BSME,3rd Year,3.38,74.36,8.09,No,9,Dropout_Risk,There are too few charging stations around campus. I often run out of battery and have no place to recharge.
S0037,22,Female,BSME,4th Year,3.49,89.38,1.81,Yes,4,Probation,"The library is quiet and comfortable, with plenty of space to study."
S0038,18,Male,BSME,2nd Year,4.75,83.84,3.71,No,1,Dropout_Risk,The drinking fountains are not regularly cleaned. It makes us hesitant to use them
S0039,18,Female,BSECE,3rd Year,2.36,57.32,6.78,No,0,Dropout_Risk,"There?s always a guard at the entrance, which makes me feel safe. ID checking is strictly implemented."
S0040,21,Female,BSIT,3rd Year,3.02,98.22,18.57,No,6,Dropout_Risk,"The classrooms are bright, clean, and conducive to learning."
S0041,18,Female,BSCE,3rd Year,2.7,54.06,8.95,No,3,Probation,Fire exits and evacuation plans are clearly posted in every building. We also had a recent fire drill which helped a lot.
S0042,24,Female,BSCS,3rd Year,3.1,87.96,15.05,Yes,3,Good,Security guards are friendly and respectful. I feel safe walking around campus.
S0043,23,Male,BSME,1st Year,1.6,88.87,13.41,No,0,Probation,The restrooms are usually dirty and lack tissue or soap. It?s uncomfortable especially during long class hours.
S0044,25,Female,BSCS,3rd Year,4.56,65.08,3.51,Yes,4,Probation,Our computer labs are equipped with the latest software we need for our program.
S0045,23,Female,BSCS,2nd Year,3.47,96.13,4.9,Yes,2,Probation,"There are too many stray dogs on campus, and it feels unsafe when walking between buildings. I hope the administration addresses this."
S0046,23,Female,BSIT,4th Year,4.87,86.92,16.38,Yes,3,Good,Our computer labs are equipped with the latest software we need for our program.
S0047,21,Female,BSCS,2nd Year,1.27,90.67,18.73,Yes,3,Good,I like that there are designated smoking areas. It keeps the rest of the campus clean and healthier.
S0048,18,Male,BSECE,2nd Year,4.71,61.45,5.92,Yes,6,Dropout_Risk,The guidance office is easy to approach and very helpful.
S0049,25,Male,BSECE,2nd Year,4.17,91.92,8.76,No,9,Good,We need more trash bins around the school. Sometimes students just leave trash on benches or hallways.
S0050,19,Female,BSME,1st Year,1.4,88.11,19.33,No,9,Good,The campus grounds are clean and well-maintained.
S0051,23,Female,BSIT,4th Year,2.79,84.92,4.53,Yes,3,Probation,Janitors do a good job maintaining cleanliness in common areas. The hallways always smell clean in the mornings.
